Meter,RelativeFrequency
"[1, 1, 2, 1, 2, 2]",0.16542994325621999
"[1, 1, 1, 1, 1, 2, 2]",0.12038411174159755
"[1, 1, 1, 1, 1, 2, 1, 1]",0.11933653426451331
"[1, 1, 2, 1, 2, 1, 1]",0.09541684853775644
"[1, 1, 2, 1, 1, 1, 1, 1]",0.0857267568747272
"[1, 1, 2, 1, 1, 1, 2]",0.0810126582278481
"[2, 2, 1, 2, 2]",0.030292448712352683
"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.028721082496726322
"[1, 2, 2, 1, 2, 1, 1]",0.028546486250545615
"[1, 1, 1, 1, 1, 1, 1, 2]",0.024967263203841118
"[2, 2, 1, 2, 1, 1]",0.02034046268005238
"[2, 2, 1, 1, 1, 1, 1]",0.01981667394151026
"[1, 2, 2, 1, 1, 1, 1, 1]",0.018769096464426014
"[1, 2, 2, 1, 2, 2]",0.01693583587952859
"[2, 2, 1, 1, 1, 2]",0.016586643387167175
"[2, 1, 1, 1, 2, 2]",0.016062854648625054
"[2, 1, 1, 1, 2, 1, 1]",0.013705805325185508
"[2, 1, 2, 1, 2, 2]",0.012745525971191619
"[1, 2, 1, 1, 1, 2, 1, 1]",0.011610650371017023
"[1, 2, 1, 1, 1, 2, 2]",0.011610650371017023
"[2, 1, 2, 1, 2, 1, 1]",0.010737669140113487
"[1, 2, 2, 1, 1, 1, 2]",0.008642514185945003
"[2, 1, 2, 1, 1, 1, 1, 1]",0.008380619816673941
"[2, 1, 1, 1, 1, 1, 2]",0.006896551724137931
"[2, 1, 1, 1, 1, 1, 1, 1]",0.005412483631601921
"[2, 1, 2, 1, 1, 1, 2]",0.0038411174159755563
"[1, 1, 1, 2, 1, 2, 2]",0.003753819292885203
"[2, 1, 1, 1, 1, 2, 1, 1]",0.0034046268005237888
"[1, 1, 1, 2, 1, 2, 1, 1]",0.002793539938891314
"[2, 1, 1, 1, 1, 2, 2]",0.002182453077258839
"[1, 2, 1, 1, 1, 1, 1, 2]",0.0020951549541684852
"[1, 2, 1, 1, 1, 1, 1, 1, 1]",0.0016586643387167177
"[1, 1, 1, 2, 1, 1, 1, 2]",0.000785683107813182
"[2, 1, 1, 1, 1, 1, 1, 1, 1]",0.00043649061545176777
"[2, 1, 1, 1, 1, 1, 1, 2]",0.00043649061545176777
"[1, 1, 1, 2, 1, 1, 1, 1, 1]",0.00034919249236141424
"[1, 1, 1, 1, 1, 1, 2, 2]",0.00017459624618070712
