Labels,Frequency
"['S', 'S', 'L', 'S', 'L', 'L']",1895
"['S', 'S', 'S', 'S', 'S', 'L', 'L']",1379
"['S', 'S', 'S', 'S', 'S', 'L', 'S', 'S']",1367
"['S', 'S', 'L', 'S', 'L', 'S', 'S']",1093
"['S', 'S', 'L', 'S', 'S', 'S', 'S', 'S']",982
"['S', 'S', 'L', 'S', 'S', 'S', 'L']",928
"['L', 'L', 'S', 'L', 'L']",347
"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",329
"['S', 'L', 'L', 'S', 'L', 'S', 'S']",327
"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'L']",286
"['L', 'L', 'S', 'L', 'S', 'S']",233
"['L', 'L', 'S', 'S', 'S', 'S', 'S']",227
"['S', 'L', 'L', 'S', 'S', 'S', 'S', 'S']",215
"['S', 'L', 'L', 'S', 'L', 'L']",194
"['L', 'L', 'S', 'S', 'S', 'L']",190
"['L', 'S', 'S', 'S', 'L', 'L']",184
"['L', 'S', 'S', 'S', 'L', 'S', 'S']",157
"['L', 'S', 'L', 'S', 'L', 'L']",146
"['S', 'L', 'S', 'S', 'S', 'L', 'S', 'S']",133
"['S', 'L', 'S', 'S', 'S', 'L', 'L']",133
"['L', 'S', 'L', 'S', 'L', 'S', 'S']",123
"['S', 'L', 'L', 'S', 'S', 'S', 'L']",99
"['L', 'S', 'L', 'S', 'S', 'S', 'S', 'S']",96
"['L', 'S', 'S', 'S', 'S', 'S', 'L']",79
"['L', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",62
"['L', 'S', 'L', 'S', 'S', 'S', 'L']",44
"['S', 'S', 'S', 'L', 'S', 'L', 'L']",43
"['L', 'S', 'S', 'S', 'S', 'L', 'S', 'S']",39
"['S', 'S', 'S', 'L', 'S', 'L', 'S', 'S']",32
"['L', 'S', 'S', 'S', 'S', 'L', 'L']",25
"['S', 'L', 'S', 'S', 'S', 'S', 'S', 'L']",24
"['S', 'L', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",19
"['S', 'S', 'S', 'L', 'S', 'S', 'S', 'L']",9
"['L', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",5
"['L', 'S', 'S', 'S', 'S', 'S', 'S', 'L']",5
"['S', 'S', 'S', 'L', 'S', 'S', 'S', 'S', 'S']",4
"['S', 'S', 'S', 'S', 'S', 'S', 'L', 'L']",2
